idx	offset	len	original_en	translation_zh	notes
0	0x0200	7	Objects	物品
14	0x0DCC	337	Smart Gun\rA miniaturized artificial\rintelligence computer has\rbeen combined with a low\rgrade missile launcher to\rcreate this strategic weapon.\rMade to demoralize Scroe\rtroops on the battlefield,\rwhen fired the Smart Gun\rautomatically seeks out the\rstrongest enemy target.\rMorale among the enemy\rcollapses quickly in the face\rof this gun.	智慧槍\r將微型人工智慧電腦\r與低階飛彈發射器結\r合而成的戰略武器。\r為打擊 Scroe 部隊士氣\r而造，發射時智慧槍會\r自動鎖定最強敵方目\r標。敵軍士氣在此武器\r面前迅速崩潰。
15	0x0F1F	273	Grenade Launcher\rSimilar to those of\rtwentieth-century Earth, this\rgrenade launcher fires\rstandard fletchette type\rgrenades which affect a small\rarea of a few feet. Users\rshould be warned that it is\rpossible to be injured by\r'friendly fire' when using\rweapons of this sort.	榴彈發射器\r與二十世紀地球的款式\r類似，此榴彈發射器發\r射標準飛鏢型榴彈，\r影響範圍數呎。使用者\r須注意此類武器可能\r造成「友軍火力」傷害。
16	0x1032	269	Plasma Generator\rUsing very special designs,\rthis gun's developers\rsucceeded in creating a\rlocalized fuel-air explosion\rsimilar to those created by\rlarger fuel-air bombs.\rCreating intense heat\reffects, the plasma generator\roperates much like a\rlarge-scale flamethrower.	電漿產生器\r採用極特殊的設計，\r開發者成功創造類似\r大型燃料空氣炸彈的\r局部燃料空氣爆炸。\r產生強烈熱效應，此\r電漿產生器運作有如\r大型火焰噴射器。
17	0x1141	288	Seeker\rA counterpart to the Smart\rGun, the seeker gun also uses\rartificial intelligence and\rrocket launching technologies\rfor its affect. Not limited\rby a strict line of sight,\rthe seeker is capable of\rattacking targets around\rcorners and other\robstructions but does have a\rlimited range.	追蹤者\r智慧槍的對應款，追蹤\r槍同樣運用人工智慧\r與火箭發射技術。不受\r嚴格視線限制，可攻擊\r轉角後或其他遮蔽物\r後的目標，但射程有\r限。
18	0x1263	129	Acid Gun\rFiring small pellets of a\rhighly corrosive nature, the\racid gun is designed to\rdirectly attack the armor of\ran opponent.	酸液槍\r發射高腐蝕性的小顆\r粒，酸液槍是為直接\r攻擊敵方護甲而設計。
19	0x12E6	304	Mono-Mol Disk Gun\rA projectile weapon, the\rmono-mol disk gun fires\rmolecule thick discs at a\rhigh rate of speed, allowing\rthem to penetrate most kinds\rof armor and do damage\rdirectly to the wearer. This\rweapon is highly unreliable,\rhowever, and is known to be\rvery vulnerable to\rTechJamming technologies.	單分子盤槍\r一種投射武器，單分子\r盤槍高速發射僅分子\r厚度的圓盤，可貫穿多\r數護甲並對穿戴者造\r成直接傷害。然而此武\r器極不可靠，已知對技\r術干擾極為脆弱。
20	0x1418	310	Defense Wave\rStrictly intended as a\rdefensive weapon, the defense\rwave propagator creates a\rglobular electrostatic burst\rthat is centered around the\ruser, doing damage to anyone\rand anything that stands in\rfront, behind or next to the\rdefender.  It is advised that\rthis item not be used in a\r'party' situation.	防禦波\r嚴格屬於防禦性武器，\r防禦波散播器以使用\r者為中心產生球形靜\r電爆發，對守者前後左\r右的任何人事物造成\r傷害。建議勿於「隊\r伍」情境中使用。
21	0x1550	318	Mass Cannon\rUtilizing mass driver\rtechnologies to deadly\reffect, this shoulder weapon\rfires a thousand gram\rprojectile from a short mass\rchamber at a velocity in\rexcess of nine hundred feet\rper second. Though it isn't\ralways capable of impaling\rall armor, it does\rsignificant damage while\rignoring any armored effects.	質量砲\r運用質量驅動技術達\r到致命效果，此肩扛武\r器從短質量膛室以每\r秒超過九百呎的速度\r發射千克彈丸。雖未必\r能貫穿所有護甲，但能\r無視護甲造成可觀傷\r害。
22	0x1690	232	Turbo Laser\rTermed by its inventor as a\r+suicide+ weapon, the turbo\rlaser fuses all of its\rcomponent parts as it fires\rits lethal burst. Effective\ronly at very short ranges,\rthese lasers are fatal to\rnearly anything that they\rtouch.	渦輪雷射\r被發明者稱為「自殺式」\r武器，渦輪雷射發射致\r命爆發時會熔毀所有零\r件。僅在極近距離有\r效，此類雷射對接觸到\r的物體幾乎致命。
23	0x177A	431	Cygnus Cannon\rAn inscription on the stock\rof the cygnus cannon gives\rall the details of the\rconstruction of this weapon\rof revenge.  Entirely unique\rin the galaxy, unmatched even\rby the technologies of the\rOminar or the Ipremi, the\rCygnus Cannon is capable of\rfiring a stream of stripped\rgravitons, in effect,\rcreating a pseudo-black hole\rin the center of its focal\rrange. When concentrated on\rany opponent, it will kill\rinstantly.	天鵝座砲\r天鵝座砲的槍托上刻有\r此復仇武器全部建造細\r節的銘文。在銀河中獨\r一無二，連 Ominar 或\rIpremi 的技術亦無能\r及，天鵝座砲能發射一\r道剝離重力子流，在焦\r距中心造成偽黑洞。集\r中於任何對手時，可立\r即致死。
24	0x192B	260	Chain Sword\rAn ingenuity created by the\rsettlers on Rutilicus Colony\rin Sector Kornephoros, the\rchain sword was created so\rthat settlers could have a\rdevice that would allow\rdefense against Cin-Sae Spawn\rwhile also having a device\rwith more practical purposes.	鏈鋸劍\r庫尼弗洛斯星區魯提里\r克斯殖民地居民的巧\r思，鏈鋸劍的發明是為\r讓殖民者擁有可抵禦辛\r賽卵生族的器具，同時\r兼具更實用的用途。
25	0x1A31	284	Rocket Launcher\rModified from a basic grenade\rlaunch design, this rocket\rlauncher is a line of sight\rweapon capable of greater\rrange and damage than other\rsimilar weapons. Novices\rshould be warned that the\rweapon is as dangerous to\rfriendly parties as to\rhostile when used improperly.	火箭發射器\r由基本榴彈設計改良，\r此火箭發射器為視線\r武器，比同類武器有更\r長射程與更高傷害。新\r手須注意此武器若使\r用不當，對友軍與敵軍\r同樣危險。
26	0x1B4F	176	Death Ray\rA microwave transmitter has\rbeen coupled with a moderate\rpower supply in this simple\rhand held weapon. Aptly\rnamed, this death ray will\rkill most unarmored opponents.	死光\r微波發射器與中等電\r源耦合於此簡易手持\r武器中。名符其實，此\r死光能殺死多數無甲\r的對手。
27	0x1C01	344	Microtic Injector\rStealing technology developed\rfor the needler guns, the\rMicrotic Injector is a\rhypervelocity injection\rsystem which introduces a\rmicrotic army into the body\rof an opponent. Once\rinside,microts then attack\rwhatever systems they\rencounter until their power\rsupplies fail. Also a good\rdevice for injecting\rStrandware into a host.	微體注射器\r盜用針槍研發的技術，\r微體注射器是高速注\r射系統，將微體大軍\r送入敵人體內。微體進\r入後，便會攻擊所遇到\r的所有系統，直到能量\r耗盡。亦是注入鏈件\r至宿主的優良裝置。
28	0x1D5B	243	Tac Nuke Rifle\rOperating more like a rocket\rlauncher than a rifle, this\rweapon fires a\rmicro-miniature fissionable\rcharge into a specified zone.\rOnce there it detonates with\ra titanic blast. Victims\rsuffer both radiation and\rprojectile damage.	戰術核彈槍\r運作更像火箭發射器\r而非步槍，此武器向\r指定區域發射微型可\r裂變彈頭。一旦抵達\r便以巨大爆炸引爆。\r受害者同時承受輻射\r與彈片傷害。
29	0x1E50	215	Breach Missile\rUsing highly complex armor\rpiercing techniques, this\rmissile launcher does all of\rits damage against any armor\rit encounters, in most cases\rmaking it possible for a\rsecondary attack to do real\rdamage.	破甲飛彈\r運用高度複雜的穿甲\r技術，此飛彈發射器\r將所有傷害施加於遇\r到的任何裝甲，使二\r次攻擊得以造成實質\r傷害。
30	0x1F29	146	Needler\rThis handgun, designed to\rfool Evian Interceptor Armor,\rfires fletched needles which\rspread into a dense cloud\rshortly before they impact.	針槍\r此手槍為了騙過 Evian 攔\r截裝甲而設計，發射帶\r尾翼的針，撞擊前會散\r開成密集針雲。
31	0x1FBD	228	Imastyl\rEssentially a handless\rdagger, the Imastyl has a\rnumber of ritualistic\rpurposes to the people of\rHenresia. They Who Converse\rare said to use the Imastyl\rto draw the pictures that\rthey use to communicate with\rone another.	伊馬斯堤\r基本上是無柄的匕首，\r對 Henresia 人有諸多儀\r式用途。據說「交談\r者」會用伊馬斯堤畫\r出彼此溝通用的圖像。
32	0x20A3	274	Energy Mace\rTactically a very cruel\rweapon, the energy mace does\rmost of its damage when the\rvictim is struck by its five\rhundred gram head. A second\rfeature, an electric shock of\r8000 volts, is delivered to\rthe victim at the same time\rin order to further disable\rthe enemy.	能量錘\r戰術上極其殘忍的武\r器，能量錘的大部分傷\r害來自其五百克重的\r錘頭。第二項特性是同\r時對受害者施加 8000\r伏特的電擊，以進一步\r癱瘓敵人。
33	0x21B7	201	Thermite Launcher\rTaking advantage of the\rsimilarity of the grenade\rlaunchers made by the traders\rin Sector Algieba, the Ethnys\rcreated the Thermite\rLauncher, a weapon that\rbathes its targets in flame.	鋁熱劑發射器\r利用 Algieba 星區商人\r所製榴彈發射器的相\r似性，Ethnys 製造了\r鋁熱劑發射器，能將\r目標浸沒於火焰中的\r武器。
34	0x2282	266	Scroe Special\rThe so-called 'scroe-special'\ris in fact a substandard\rpistol that fires caseless\rrounds. Usually only used by\rthe Scroe for purposes of\rinternal security, it\rsometimes is sold on the open\rmarket. This particular model\rappears to be in very poor\rshape.	Scroe 特製\r所謂「Scroe 特製」其實\r是不達標的手槍，發射\r無殼彈。通常只供 Scroe\r內部安全使用，偶爾流\r入公開市場。這一把看\r來狀況非常差。
35	0x238E	293	Battle Laser\rSlighty heavier than an\rAssault Laser, the Battle\rLaser is very long ranged but\rsacrifices a significant\rdegree of its punch to make\rthe range possible. Weapons\rof this sort have reduced the\rnecessity of short range\rbattles that have been\rdictated by shorter ranged\rlaser weapons.	戰鬥雷射\r比突擊雷射稍重，戰\r鬥雷射射程極遠但為\r了換得射程而犧牲了\r相當程度的威力。此\r類武器降低了由短射\r程雷射武器主宰的近\r距離戰鬥之必要性。
36	0x24B5	292	Sossee Dagger\rStrictly a ceremonial weapon,\rthis dagger is greatly\rrevered as a holy symbol.\rUsed in mystery rites for\rages, it now tours\rperiodically as an art\robject. HabStel on Starport\rKochab has reportedly bid\rlarge sums to gain possession\rof the dagger but have so far\rbeen unsucessful.	Sossee 匕首\r純粹為儀式用武器，\r此匕首被視為神聖象\r徵備受敬重。多年來\r用於神秘儀式，現以\r藝術品身分定期巡迴\r展出。據傳 Kochab 太\r空港的 HabStel 曾出鉅\r款欲取得，至今未果。
37	0x25DB	262	Laser Sword\rPulsed bursts of laser energy\rare used to create the\r+blade+ of this curious item.\rAlthough it has several\rredeeming features, it\rsuffers from great\rsusceptibility to TechJam and\ris somewhat unwieldy to those\runused to using such an\relaborate weapon.	雷射劍\r以脈衝式雷射能量爆\r發形成此奇特物品的\r「劍刃」。雖有數項可\r取之處，但對技術干\r擾極為敏感，且對不\r熟悉此類精巧武器者\r來說有些難以駕馭。
38	0x26E3	266	Plasma Bow\rThis weapon combines the\rgrace of archaic weaponry\rwith the destructive power of\rmodern technology. The plasma\rbow shoots concentrated bolts\rof plasma energy that strike\rand burn their target. A\rgreat deal of damage is done\ragainst foes not wearing\rarmor.	電漿弓\r此武器融合古代兵器\r的優雅與現代科技的\r破壞力。電漿弓發射\r凝聚的電漿能量箭矢，\r擊中並燒灼目標。對\r未穿護甲的敵人造成\r大量傷害。
39	0x27EF	160	Super Laser\rThe most powerful of the\rlaser weapons, the Super\rLaser operates at the long\rrange of the Battle Laser\rwithout sacrificing\rdestructive capabilities.	超級雷射\r雷射武器中威力最強，\r超級雷射在戰鬥雷射\r的長射程下運作，不\r犧牲破壞能力。
40	0x2891	161	Atomizer\rThe atomizer delivers a\rfocused beam of x-ray\rradiation that is able to \rpenetrate most normal types\rof armor. Not very effective\ragainst archaic armor.	霧化器\r霧化器發射一束聚焦\rX 射線輻射，能穿透\r多數常規護甲。對古\r代護甲效果不彰。
41	0x2934	146	Leather Armor\rBeautifully tooled, this\rleather armor should be able\rto turn back the blades of\rdaggers and reduce damage\rfrom conventional swords.	皮甲\r雕工精美的皮甲，應\r能擋下匕首的刀刃並\r減輕一般劍類的傷害。
42	0x29C8	230	Chain Mail\rThousands of wrought iron\rrings have been linked\rtogether to form this superb\rsuit of low-tech armor.\rCapable of stopping daggers\rand swords, it is still\rvulnerable to penetration by\rarrows and other projectile\rweapons.	鎖子甲\r數千個熟鐵環相連而\r成的精良低科技護甲。\r可擋下匕首與劍，但\r仍易遭弓箭及其他投\r射武器穿透。
43	0x2AB0	245	Plate Mail\rPolished to a shine, this\rplate mail is astonishingly\rsimilar to the plate mail\rfound on Earth during its\rmedieval period. Although it\rwould be poorly matched\ragainst firearms, it should\rstop any less severe kind of\rprojectile attack.	板甲\r擦得發亮的板甲，與\r地球中世紀時期的板\r甲驚人地相似。雖然\r難以對抗火器，但仍\r能擋下較輕微的投射\r攻擊。
44	0x2BA7	180	Flak Jacket\rA fairly heavy form of armor,\rthe flak jacket is designed\rto stop small arms fire at\rshort range. Heavier\rprojectile weapons may still\rpenetrate the skin of this\rarmor.	防彈背心\r頗為厚重的護甲，防\r彈背心是為阻擋近距\r離輕武器射擊而設計。\r較重型投射武器仍可\r穿透其表面。
45	0x2C5D	315	Kevlar Suit\rNot so heavy as the standard\rflak jacket, the Kevlar Suit\ris far better suited to\ractual combat situations and\rallows greater freedom of\rmovement. Capable of\rwithstanding heavy arms fire\rat moderate ranges, this is\rthe basic armor that most\rlow-tech societies use for\rthe protection of their\rmilitaries.	克維拉套裝\r不像標準防彈背心那\r樣厚重，克維拉套裝\r更適合實戰情境，並\r允許更大的活動自由\r度。能抵擋中距離的\r重武器射擊，是多數\r低科技社會用以保護\r其軍隊的基本護甲。
46	0x2D9A	227	Composite Armor\rCombining lightweight\rconstruction and high stress\rflexibility, this armor is\rcapable of withstanding small\rand moderate arms fire while\rit is still in good\rcondition. Elite officers are\roften issued this armor.	複合裝甲\r結合輕量構造與高應\r力撓性，此護甲在狀\r態良好時可抵擋輕型\r與中型武器射擊。常\r配發給精銳軍官。
47	0x2E7F	223	Reflec Armor\rPitted with thousands of\rsmall parabolic reflectors,\rthis is a high tech armor\rdesigned to shed the\rdevastating effects of small\rlaser fire. Larger scale\rlasers are capable of eating\rquickly through this armor.	反射裝甲\r鑲嵌數千個小型拋物\r面反射鏡，此為高科\r技護甲，旨在化解小\r型雷射射擊的毀滅效\r果。大型雷射仍能迅\r速貫穿此裝甲。
48	0x2F60	233	Ceramic Armor\rLess vulnerable than reflec\rarmor, ceramic armor can\rwithstand great heat before\rsuccumbing to the effects of\rlaser fire. Wearers should be\radvised, however that a\rprojectile weapon could still\reasily breach such armor.	陶瓷裝甲\r比反射裝甲更不易受\r損，陶瓷裝甲在雷射\r射擊效果擊潰它之前\r可承受高熱。穿戴者\r須注意投射武器仍能\r輕易突破此類護甲。
49	0x304B	386	Evian Armor\rDuring the vicious years of\rthe Attrition Conflict, the\rEvians developed this\rfrightening looking black\rarmor as a defense against\rthe rapid-fire weapons\rwielded by the Scroe trench\rarmies. Utilizing a special\rpair of lasers attached to\rthe shoulders of the armor,\rincoming projectiles are\rautomatically vaporized as\rthey approach until the\rsuit's power supply is\rexhausted.	Evian 裝甲\r在消耗衝突的殘酷歲\r月中，Evian 人開發出\r這套外表駭人的黑色\r裝甲，用以對抗 Scroe\r壕溝部隊所持的速射\r武器。藉由肩部裝設\r的一對特殊雷射，靠\r近的彈體會被自動氣\r化，直到套裝電力耗\r盡為止。
50	0x31CF	140	Personal Shield\rThis force-field based armor\ris capable of shedding both\rlaser and 'sub-atomic' fire,\rbut has a relatively low\rbreach value.	個人護盾\r以力場為基礎的護甲，\r可同時化解雷射與\r「次原子」攻擊，但破\r防值相對較低。
51	0x325D	321	Modu-Armor\rThis is an active armor\rdesigned to stop 'sub-\ratomic' damage to the wearer.\rBy creating a modulating\rvirtual wall of neutrons\raround the wearer, it endows\rthe ability to see a target\rwhile still providing a solid\rshield around them. If it\rreceives more damage than it\rcan vent, the field will then\rfall apart.	調變裝甲\r主動式護甲，旨在阻\r擋穿戴者所受的「次\r原子」傷害。藉由在\r穿戴者周圍生成可調\r變的虛擬中子牆，賦\r予其觀測目標之能力，\r同時提供堅固護盾。\r若所受傷害超過其耗\r散能力，力場便會崩\r潰。
52	0x33A0	346	May Field\rDeveloped by Ageus May, this\renergy field has proven to be\rthe most effective armor\ragainst 'sub-atomic' attack.\rBy generating a field of\rgluons around the wearer,\rthis field effectively sheds\rneutron and electron class\rguns. As with the other types\rof 'sub-atomic' armors, it\rstands a chance of\roverloading and imploding on\rits wearer.	梅伊力場\r由 Ageus May 開發，此\r能量場已證實為對抗\r「次原子」攻擊最有\r效的護甲。藉由在穿\r戴者周圍生成膠子場，\r能有效化解中子與電\r子級槍械。如其他「\r次原子」護甲一樣，\r有過載並向穿戴者內\r爆的風險。
53	0x34FC	201	Admantine Chain\rThis chain mail is the very\rfinest armor that is possible\rwithin a low-tech society.\rCapable of stopping even\rarrows and small arms fire,\rthis chain is the finest in\rany class of armor.	精鋼鎖甲\r此鎖子甲是低科技社\r會所能造出的最頂級\r護甲。連箭矢與輕武\r器射擊都能擋下，是\r此類護甲中最頂尖的。
54	0x35C7	183	Teflar Suit\rHighly heat resistant and\rflexible, laser and\rprojectile weaponry are\rchallenged to breach the skin\rof this suit. It is still\rmoderately vulnerable to\r'sub-atomic' attack.	鐵弗龍套裝\r極耐高溫且具柔軟性，\r雷射與投射武器難以\r破壞此套裝的表層。\r但對「次原子」攻擊\r仍有中度脆弱性。
55	0x3680	259	Assault Suit\rHighly expensive and greatly\rvalued, this armor was\rcreated by the Ominar for\rtheir defense troops on the\rborders of their territories.\rResistant to all types of\rattack, this suit has a high\rbreach value and can\rwithstand most heavy weapons\rfire.	突擊套裝\r極為昂貴且備受看重，\r此護甲為 Ominar 為其\r邊境防守部隊製造。\r對所有攻擊類型皆有\r抗性，破防值高，可\r承受多數重武器射擊。
56	0x3785	346	Recon Armor\rMade with the same defenses\ras the Assault Suit, Recon\rArmor was scaled down to\rallow more suits to be made\rwhile cutting costs.\rAlthough its breach value was\rsacrificed, it gained special\rmechanised features which\rallows the wearer to smash\rthrough thin walls. Despite\rits bulky mass, it is still\rquite adequate in battle\rsituations.	偵察裝甲\r與突擊套裝具相同防\r護，偵察裝甲為了量\r產並削減成本而縮減\r規模。雖犧牲了破防\r值，但獲得特殊機械\r功能，使穿戴者可撞\r穿薄牆。雖然體積龐\r大，於戰鬥情境中仍\r相當合用。
57	0x38E1	300	Shielded Reflec\rThis special class of reflec\rarmor is designed for\rreconnaissance purposes so\rthat scouting parties stand a\rmoderate chance of survival\rwhen they are unsure of an\renemy's armament. Although\rit is not recommended for\rsustained battles, it is a\rvery good armor for hit and\rrun missions.	護盾反射甲\r此特殊類型的反射裝\r甲為偵察用途而設計，\r使偵察隊在不確定敵\r方武裝時有適度存活\r機會。雖不建議用於\r持久戰，但對於打了\r就跑的任務是非常好\r的護甲。
58	0x3A0F	147	Dreadnaught Suit\rThe Dreadnaught Suit is the\rtoughest armor available in\rthe known galaxy. It offers\rthe greatest protection \ragainst most weapons.	無畏套裝\r無畏套裝是已知星系\r中最堅固的護甲。對\r多數武器提供最大限\r度的保護。
59	0x3AA4	165	Escape Code\rA thin plastic card with the\rwords 'Escape Code' written\rin the language of the\rOminar. Tiny bumps on the\rsurface of the card form an \rintricate pattern.	逃脫密碼\r一張薄塑膠卡，上面\r以 Ominar 語寫著「逃\r脫密碼」。卡面上的\r小凸起構成複雜的圖\r樣。
60	0x3B4B	196	K-Beam\rOne of the eight pieces of\rthe Centauri Device.  The\rK-Beam generator creates a\rselectively permeable wall of\rpositrons designed to prevent\runwanted matter from coming\rthrough the wormhole.	K光束\r半人馬裝置的八件之\r一。K光束產生器形\r成可選擇性穿透的正\r電子牆，用以阻止不\r想要的物質穿過蟲洞。
61	0x3C11	163	Harmonic Resonator\rOne of the eight pieces of\rthe Centauri Device.  The\rHarmonic Resonator generates\rgravity waves in the patterns\rneccessary to open the\rwormhole.	諧振共振器\r半人馬裝置的八件之\r一。諧振共振器產生\r開啟蟲洞所需特定模\r式的重力波。
62	0x3CB6	90	Omega Card\rA thin plastic card with a \rrepresentation of the Alkaid\rsystem engraved on it.	歐米茄卡\r薄塑膠卡，上面雕刻\r著 Alkaid 星系的圖樣。
63	0x3D12	69	Silver Locket\rA filigreed silver locket in\rthe shape of a royal seal.	銀色墜飾\r精雕的銀色墜飾，造\r型如皇室印璽。
64	0x3D59	115	Key Card\rDesigned to be used with\rmagnetic door locks, this key\rcard is backed with a thin\rferrous- sensitive tape.	鑰匙卡\r為搭配磁性門鎖而設\r計，此鑰匙卡背面有\r一條薄薄的磁感應帶。
65	0x3DCE	257	Algiebian Crystal\rThese crystals have\rtremendous value as power\rsources.  When excited in a\rwarp field, the Algiebian\rCrystals emit a singularly\rcomplex wave which can be\ramplified by a Mass\rConverter. This is one of the\reight pieces of the Centauri\rDevice.	阿吉比安水晶\r這些水晶作為能源具\r有巨大價值。在曲速\r場中受激時，阿吉比\r安水晶會發出一種獨\r特的複雜波，可由質\r量轉換器放大。為半\r人馬裝置八件之一。
66	0x3ED1	231	Algiebian Quarter\rThe face of this Algiebian\rcoin is stamped with the\rimage of Ishtao, president of\rthe Algiebian Empire.\rAlthough coinage has largely\rgone out of use within their\rsystems, they still use coins\rfor vending purposes.	阿吉比安銀角\r此阿吉比安硬幣正面\r鑄有阿吉比安帝國總\r統 Ishtao 的肖像。雖\r然其星系內硬幣大致\r已不再流通，但仍用\r於販賣機購物。
67	0x3FBA	169	Kochab-Cola\rBitter tasting and dark, it\rseems remarkable that this\rsoft drink would be popular\rin any sector of the galaxy.\rIt is particularly favored by\rthe Algiebians.	Kochab 可樂\r味苦色深，這種飲料\r竟能在任何星區受歡\r迎實在令人驚訝。阿\r吉比安人尤其喜愛。
68	0x4065	220	Newspaper\rThe newspaper is filled with\rthe usual tabloid fare.\rLIZARDESS WOMAN GIVES LIVE\rBIRTH! graces its cover, but\runder it is a story about the\rGeal A'nai. The cult has\rreportedly been hijacking\rships in the system.	報紙\r報紙充滿典型小報內\r容。「蜥蜴女產活胎！」\r占據封面，下方則是\r一則關於 Geal A'nai 的\r報導。該教團據傳一\r直在劫持本星系內的\r船艦。
69	0x4143	155	Vegan Wine\rPressed by the Ominar, Vegan\rwine has a number of unusual\rproperties. Known to be very\rintoxicating, it is largely\rprohibited in many societies.	織女座葡萄酒\r由 Ominar 釀造，此酒\r具有諸多不尋常特性。\r以強烈醉人著稱，於\r多數社會中均屬禁品。
70	0x41E0	119	Press Pass\rThe press pass bears the\rmasthead logo of the "Nightly\rStalker", the only state\rfunded newspaper on Algieba.	媒體通行證\r此通行證印有「夜行\r者報」的報頭標誌，\r是阿吉比安唯一一份\r國家資助的報紙。
71	0x4259	185	Geal A'nai Amulet\rA deeply religious people,\rmany of the Algiebians belong\rto a monastic order known as\rthe Geal A'nai. This amulet\ris often recognized as being\rthe sign of their faith.	Geal A'nai 護符\r阿吉比安人虔誠信仰，\r許多人屬於一個名為\rGeal A'nai 的修道團體。\r此護符常被視為他們\r信仰的象徵。
